OLMTA_V1_CONFIG {"seed": 17, "budget": 50000, "init": 96, "batch": 16, "pool": 60000, "ensemble": 3, "opt_gpu": 0, "eval_gpus": [0, 1], "eval_workers_per_gpu": 4, "initial_network": "immutable original OPTv1"}
/var/lib/cots-lamcts/jobs/olmta-v1-meta50k-run002b-20260915/src/validation/opt10_pretrain_completion_run.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.enc=nn.TransformerEncoder(el,layers,norm=nn.LayerNorm(d));self.recon=nn.Linear(d,B.FIELDS)
Q init-s17 34 (71, 16, 40, 14) 116.67018484098655 gpu cache
Q init-s17 35 (57, 32, 55, 57) 76.23853709731206 gpu cache
Q init-s17 36 (65, 42, 37, 50) 526.3250468348704 gpu cache
Q init-s17 37 (14, 52, 14, 44) 39.64915594377625 gpu cache
Q init-s17 38 (52, 17, 19, 31) 43.411108516617624 gpu cache
Q init-s17 39 (7, 36, 14, 0) 90.06021633422661 gpu cache
Q init-s17 40 (6, 21, 40, 25) 79.21545122299155 gpu cache
Q init-s17 41 (15, 0, 31, 40) 134.94730144982222 gpu cache
Q init-s17 42 (47, 39, 21, 6) 134.72574396976748 gpu cache
Q init-s17 43 (41, 17, 3, 65) 49.74384464453187 gpu cache
Q init-s17 44 (37, 31, 14, 18) 140.9919206267863 gpu cache
Q init-s17 45 (37, 62, 2, 32) 46.32661422315007 gpu cache
Q init-s17 46 (2, 45, 66, 65) 101.4354264615259 gpu cache
Q init-s17 47 (38, 39, 32, 11) 78.82999053646724 gpu cache
Q init-s17 48 (2, 51, 3, 67) 130.70566271045774 gpu cache
Q init-s17 49 (55, 30, 65, 47) 105.94475489384702 gpu cache
Q init-s17 50 (36, 62, 23, 11) 42.606041771452965 gpu cache
Q init-s17 51 (28, 56, 43, 34) 102.17181920643502 gpu cache
Q init-s17 52 (27, 39, 64, 66) 36.28658791502771 gpu cache
Q init-s17 53 (23, 58, 70, 9) 70.15727912732675 gpu cache
Q init-s17 54 (22, 29, 31, 48) 94.40209743549526 gpu cache
Q init-s17 55 (8, 58, 30, 11) 60.408235145625 gpu cache
Q init-s17 56 (13, 50, 58, 37) 160.11868026568644 gpu cache
Q init-s17 57 (27, 5, 45, 37) 93.80554708937215 gpu cache
Q init-s17 58 (2, 32, 17, 31) 49.8207624646379 gpu cache
Q init-s17 59 (32, 19, 34, 26) 117.31930071550977 gpu cache
Q init-s17 60 (53, 54, 30, 24) 80.63910462988761 gpu cache
Q init-s17 61 (1, 61, 27, 50) 259.23637112087107 gpu cache
Q init-s17 62 (18, 54, 35, 28) 186.5940475716605 gpu cache
Q init-s17 63 (48, 12, 48, 0) 73.58868222244564 gpu cache
Q init-s17 64 (69, 29, 67, 33) 297.8114346865592 gpu cache
Q init-s17 65 (29, 27, 18, 7) 159.98367091336996 gpu cache
Q init-s17 66 (7, 3, 47, 63) 73.35146030644914 gpu cache
Q init-s17 67 (2, 28, 58, 62) 130.77057483607328 gpu cache
Q init-s17 68 (30, 59, 43, 41) 68.92350551610774 gpu cache
Q init-s17 69 (24, 62, 16, 68) 94.55897654111172 gpu cache
Q init-s17 70 (1, 45, 60, 0) 31.36365530362526 gpu cache
Q init-s17 71 (58, 46, 11, 35) 168.02398438008308 gpu cache
Q init-s17 72 (15, 56, 45, 25) 109.14544954969956 gpu cache
Q init-s17 73 (43, 49, 48, 26) 40.09380633914334 gpu cache
Q init-s17 74 (58, 42, 1, 32) 136.7455920908039 gpu cache
Q init-s17 75 (28, 15, 60, 23) 48.92542588317928 gpu cache
Q init-s17 76 (2, 4, 15, 44) 917.5689935616708 gpu cache
Q init-s17 77 (16, 64, 7, 42) 374.7434092673408 gpu cache
Q init-s17 78 (69, 12, 70, 38) 53.37351642358012 gpu cache
Q init-s17 79 (44, 18, 44, 27) 101.63899386964066 gpu cache
Q init-s17 80 (22, 0, 26, 69) 337.5017497701153 gpu cache
Q init-s17 81 (43, 37, 45, 41) 411.1893925449774 gpu cache
Q init-s17 82 (11, 6, 67, 9) 49.279368850553155 gpu cache
Q init-s17 83 (50, 63, 27, 60) 155.26981402045016 gpu cache
Q init-s17 84 (59, 48, 46, 50) 41.49015605922069 gpu cache
Q init-s17 85 (44, 67, 50, 48) 86.48212240024752 gpu cache
Q init-s17 86 (46, 43, 28, 10) 106.39101213957866 gpu cache
Q init-s17 87 (45, 16, 42, 15) 71.7634749307085 gpu cache
Q init-s17 88 (35, 3, 39, 29) 1484.1125463987566 gpu cache
Q init-s17 89 (8, 3, 62, 65) 50.78227761255484 gpu cache
Q init-s17 90 (5, 44, 47, 24) 53.00667955979954 gpu cache
Q init-s17 91 (29, 19, 40, 53) 425.8999588311438 gpu cache
Q init-s17 92 (71, 64, 50, 71) 164.25648506977709 gpu cache
Q init-s17 93 (4, 6, 11, 32) 42.17048474677831 gpu cache
Q init-s17 94 (35, 70, 7, 42) 68.3574155426922 gpu cache
Q init-s17 95 (34, 57, 41, 27) 334.37736418580744 gpu cache
Q round1-s17 0 (4, 62, 50, 1) 74.03114569682913 gpu 0
Q round1-s17 1 (44, 62, 50, 1) 67.09162901204957 gpu 1
Q round1-s17 2 (68, 62, 58, 1) 45.84392264818418 gpu 0
Q round1-s17 3 (28, 25, 2, 1) 58.02341628869736 gpu 1
Q round1-s17 4 (1, 45, 28, 6) 40.650123389950956 gpu 0
Q round1-s17 5 (1, 45, 20, 17) 29.359612225082337 gpu 1
Q round1-s17 6 (60, 25, 66, 22) 52.19650768836698 gpu 0
Q round1-s17 7 (1, 45, 28, 22) 39.15543674780744 gpu 1
Q round1-s17 8 (1, 45, 60, 6) 42.55862715108328 gpu 0
Q round1-s17 9 (43, 17, 58, 1) 84.4854801020446 gpu 1
Q round1-s17 10 (11, 17, 50, 1) 121.75265732202534 gpu 0
Q round1-s17 11 (60, 65, 66, 41) 43.227145048331025 gpu 1
Q round1-s17 12 (6, 45, 20, 1) 54.63364540440343 gpu 0
Q round1-s17 13 (6, 53, 4, 1) 53.72166126502988 gpu 1
Q round1-s17 14 (15, 16, 34, 44) 98.54177576110692 gpu cache
Q round1-s17 15 (14, 39, 54, 2) 303.3028867214672 gpu cache
ROUND 1 n 112 bestJ 29.359612225082337 best (1, 45, 20, 17) eligible 26208 update 0 updates_total 1
Q round2-s17 0 (1, 5, 4, 6) 33.99376045570696 gpu 0
Q round2-s17 1 (1, 45, 4, 6) 35.98420523448518 gpu 1
Q round2-s17 2 (1, 21, 4, 6) 30.597815856427015 gpu 0
Q round2-s17 3 (41, 45, 4, 6) 42.423180064116124 gpu 1
Q round2-s17 4 (17, 45, 4, 6) 34.428501618344036 gpu 0
Q round2-s17 5 (1, 5, 20, 22) 32.463721239938614 gpu 1
Q round2-s17 6 (1, 45, 44, 6) 36.625231723015084 gpu 0
Q round2-s17 7 (1, 45, 4, 22) 35.02851736390944 gpu 1
Q round2-s17 8 (1, 45, 4, 46) 34.13528507778492 gpu 0
Q round2-s17 9 (28, 41, 66, 22) 40.81839947386808 gpu 1
Q round2-s17 10 (17, 45, 4, 22) 32.54807107221686 gpu 0
Q round2-s17 11 (1, 13, 4, 6) 45.747209996429014 gpu 1
Q round2-s17 12 (20, 41, 66, 22) 45.8158756029476 gpu 0
Q round2-s17 13 (41, 45, 4, 22) 41.71149716733366 gpu 1
Q round2-s17 14 (1, 51, 46, 51) 734.1402274548715 gpu 0
Q round2-s17 15 (2, 34, 6, 68) 304.923194114192 gpu 1
ROUND 2 n 128 bestJ 29.359612225082337 best (1, 45, 20, 17) eligible 23716 update 0 updates_total 1
Q round3-s17 0 (28, 41, 66, 1) 46.84047965312288 gpu 0
Q round3-s17 1 (41, 5, 4, 6) 37.974576784252214 gpu 1
Q round3-s17 2 (52, 41, 66, 1) 45.515601128825175 gpu 0
Q round3-s17 3 (68, 41, 66, 1) 45.99981259828617 gpu 1
Q round3-s17 4 (17, 5, 4, 6) 30.912727310917518 gpu 0
Q round3-s17 5 (4, 49, 66, 1) 53.785299839081496 gpu 1
Q round3-s17 6 (28, 17, 66, 1) 48.66008269110164 gpu 0
Q round3-s17 7 (4, 41, 66, 1) 53.71560888963296 gpu 1
Q round3-s17 8 (28, 41, 66, 6) 40.14710395071435 gpu 0
Q round3-s17 9 (1, 5, 44, 6) 33.42336994293198 gpu 1
Q round3-s17 10 (49, 5, 4, 6) 32.267600678644584 gpu 0
Q round3-s17 11 (68, 41, 66, 6) 42.29845862862653 gpu 1
Q round3-s17 12 (1, 5, 20, 6) 32.64841397587042 gpu 0
Q round3-s17 13 (1, 5, 4, 46) 31.54582315099363 gpu 1
Q round3-s17 14 (28, 6, 30, 41) 67.61537889637889 gpu 0
Q round3-s17 15 (31, 12, 55, 35) 42.37265759934878 gpu 1
ROUND 3 n 144 bestJ 29.359612225082337 best (1, 45, 20, 17) eligible 15089 update 0 updates_total 1
Q round4-s17 0 (28, 41, 50, 1) 55.74573036822479 gpu 0
Q round4-s17 1 (28, 41, 50, 6) 45.28918794245588 gpu 1
Q round4-s17 2 (20, 41, 66, 1) 53.396333974981964 gpu 0
Q round4-s17 3 (28, 65, 66, 1) 53.539944683904054 gpu 1
Q round4-s17 4 (65, 5, 4, 6) 25.01321415806162 gpu 0
Q round4-s17 5 (52, 41, 50, 6) 43.62670600946254 gpu 1
Q round4-s17 6 (28, 65, 50, 6) 49.428739817555496 gpu 0
Q round4-s17 7 (68, 41, 50, 6) 44.6476972482681 gpu 1
Q round4-s17 8 (44, 41, 66, 1) 50.41319475216142 gpu 0
Q round4-s17 9 (12, 41, 66, 1) 46.49809512974567 gpu 1
Q round4-s17 10 (28, 65, 66, 6) 45.87176280370177 gpu 0
Q round4-s17 11 (68, 17, 66, 1) 48.05728109200732 gpu 1
Q round4-s17 12 (52, 41, 66, 6) 43.787324268894764 gpu 0
Q round4-s17 13 (4, 41, 50, 6) 49.3188650215945 gpu 1
Q round4-s17 14 (49, 55, 30, 16) 98.94504486829847 gpu 0
Q round4-s17 15 (25, 2, 10, 13) 354.25609166650503 gpu 1
ROUND 4 n 160 bestJ 25.01321415806162 best (65, 5, 4, 6) eligible 1132 update 0 updates_total 1
Q round5-s17 0 (20, 65, 66, 6) 49.44379564642398 gpu 0
Q round5-s17 1 (28, 1, 66, 1) 47.7534777195625 gpu 1
Q round5-s17 2 (4, 65, 66, 6) 49.048612334329896 gpu 0
Q round5-s17 3 (1, 5, 4, 22) 32.874789887174174 gpu 1
Q round5-s17 4 (41, 5, 4, 46) 35.63681016531342 gpu 0
Q round5-s17 5 (68, 1, 66, 1) 47.51608774201143 gpu 1
Q round5-s17 6 (28, 41, 58, 1) 45.88675127529571 gpu 0
Q round5-s17 7 (41, 5, 4, 22) 38.13147686315361 gpu 1
Q round5-s17 8 (20, 41, 66, 6) 46.04779329865852 gpu 0
Q round5-s17 9 (17, 5, 4, 46) 27.921705747295047 gpu 1
Q round5-s17 10 (17, 5, 4, 22) 30.465504851061134 gpu 0
Q round5-s17 11 (17, 5, 44, 6) 31.597732280326728 gpu 1
Q round5-s17 12 (41, 21, 4, 6) 35.53593706373557 gpu 0
Q round5-s17 13 (17, 21, 4, 6) 29.91108980930967 gpu 1
Q round5-s17 14 (30, 11, 1, 15) 57.5396566210733 gpu 0
Q round5-s17 15 (60, 54, 58, 32) 68.02960333677173 gpu 1
ROUND 5 n 176 bestJ 25.01321415806162 best (65, 5, 4, 6) eligible 109 update 0 updates_total 1
Q round6-s17 0 (41, 5, 44, 6) 37.80091902835539 gpu 0
Q round6-s17 1 (25, 5, 4, 6) 27.711732660801452 gpu 1
Q round6-s17 2 (17, 5, 20, 6) 31.31701242603455 gpu 0
Q round6-s17 3 (41, 5, 20, 6) 38.026832224925386 gpu 1
Q round6-s17 4 (28, 41, 34, 1) 44.40913875725193 gpu 0
Q round6-s17 5 (1, 5, 44, 46) 32.02182769885995 gpu 1
Q round6-s17 6 (1, 5, 44, 22) 33.03747545145551 gpu 0
Q round6-s17 7 (65, 5, 4, 46) 25.6046881975107 gpu 1
Q round6-s17 8 (65, 5, 4, 22) 25.370397346688996 gpu 0
Q round6-s17 9 (52, 41, 50, 46) 44.49920048536258 gpu 1
Q round6-s17 10 (36, 41, 66, 1) 47.66676555582907 gpu 0
Q round6-s17 11 (1, 5, 20, 46) 30.69776066422975 gpu 1
Q round6-s17 12 (65, 45, 4, 6) 26.403095748529008 gpu 0
Q round6-s17 13 (1, 21, 4, 22) 30.773623247087595 gpu 1
Q round6-s17 14 (24, 34, 68, 54) 27.064603486541554 gpu 0
Q round6-s17 15 (40, 10, 1, 11) 87.3900809263545 gpu 1
ROUND 6 n 192 bestJ 25.01321415806162 best (65, 5, 4, 6) eligible 60 update 0 updates_total 1
Q round7-s17 0 (28, 41, 50, 46) 45.459567157026676 gpu 0
Q round7-s17 1 (28, 41, 66, 17) 46.715286215811766 gpu 1
Q round7-s17 2 (52, 1, 66, 6) 39.80779046693235 gpu 0
Q round7-s17 3 (28, 41, 66, 46) 41.361944823198606 gpu 1
Q round7-s17 4 (1, 21, 4, 46) 29.6135868482752 gpu 0
Q round7-s17 5 (49, 5, 4, 46) 30.78951063338864 gpu 1
Q round7-s17 6 (52, 41, 50, 22) 43.63403241627398 gpu 0
Q round7-s17 7 (49, 5, 4, 22) 32.466975325111 gpu 1
Q round7-s17 8 (12, 41, 34, 1) 44.550783052629626 gpu 0
Q round7-s17 9 (20, 41, 66, 46) 46.7190709551391 gpu 1
Q round7-s17 10 (41, 5, 4, 1) 32.80302230785976 gpu 0
Q round7-s17 11 (17, 5, 44, 46) 30.102655501919926 gpu 1
Q round7-s17 12 (1, 5, 4, 1) 29.552051906168824 gpu 0
Q round7-s17 13 (17, 5, 4, 1) 29.333630561637147 gpu 1
Q round7-s17 14 (8, 49, 10, 19) 72.09521643720669 gpu 0
Q round7-s17 15 (28, 65, 35, 37) 294.7571026891285 gpu 1
ROUND 7 n 208 bestJ 25.01321415806162 best (65, 5, 4, 6) eligible 466 update 0 updates_total 1
Q round8-s17 0 (1, 21, 44, 6) 32.777181149333224 gpu 0
Q round8-s17 1 (65, 21, 4, 6) 25.22639365025274 gpu 1
Q round8-s17 2 (1, 45, 20, 6) 35.89186029982193 gpu 0
Q round8-s17 3 (1, 21, 20, 6) 32.03540262246341 gpu 1
Q round8-s17 4 (1, 5, 12, 6) 35.68349098028592 gpu 0
Q round8-s17 5 (49, 45, 4, 6) 35.40758934596039 gpu 1
Q round8-s17 6 (17, 5, 44, 22) 31.640629227569317 gpu 0
Q round8-s17 7 (65, 5, 44, 6) 24.478434282399974 gpu 1
Q round8-s17 8 (49, 21, 4, 6) 31.52478863522447 gpu 0
Q round8-s17 9 (17, 45, 4, 46) 32.270531275449144 gpu 1
Q round8-s17 10 (17, 21, 4, 22) 30.419230364584386 gpu 0
Q round8-s17 11 (17, 21, 4, 46) 26.96351498432685 gpu 1
Q round8-s17 12 (17, 5, 20, 46) 28.110911190730924 gpu 0
Q round8-s17 13 (17, 5, 20, 22) 30.822363345287286 gpu 1
Q round8-s17 14 (54, 60, 11, 12) 463.09045775447726 gpu 0
Q round8-s17 15 (28, 39, 5, 11) 765.0535522906706 gpu 1
TRIGGER_UPDATE 8 224 ['ranking_degradation'] {"new_labels_since_update": 128, "evals_since_best": 8, "recent_n": 128, "recent_spearman": 0.23663248489287675, "recent_high_uncertainty_fraction": 0.0, "sigma_ref_p90": 0.0978090949356556, "eligible_pool": 2, "eligible_floor": 120}
ROUND 8 n 224 bestJ 24.478434282399974 best (65, 5, 44, 6) eligible 2 update 1 updates_total 2
Q round9-s17 0 (38, 5, 4, 22) 28.276866362535845 gpu 0
Q round9-s17 1 (62, 5, 4, 22) 29.75180341097451 gpu 1
Q round9-s17 2 (38, 5, 4, 46) 27.429664143032518 gpu 0
Q round9-s17 3 (38, 5, 4, 54) 24.398685825561618 gpu 1
Q round9-s17 4 (38, 5, 4, 14) 23.839151204670042 gpu 0
Q round9-s17 5 (38, 5, 4, 6) 28.569492775522153 gpu 1
Q round9-s17 6 (38, 5, 4, 70) 25.314825603882007 gpu 0
Q round9-s17 7 (62, 5, 4, 46) 29.06635319547101 gpu 1
Q round9-s17 8 (62, 5, 4, 54) 26.28721645264878 gpu 0
Q round9-s17 9 (38, 21, 4, 22) 29.018450532181085 gpu 1
Q round9-s17 10 (62, 5, 4, 14) 26.459432249059006 gpu 0
Q round9-s17 11 (38, 45, 4, 22) 30.39291168835207 gpu 1
Q round9-s17 12 (62, 5, 4, 70) 23.529057505828288 gpu 0
Q round9-s17 13 (62, 5, 4, 6) 30.743841256449098 gpu 1
Q round9-s17 14 (39, 0, 3, 50) 112.7237467845111 gpu 0
Q round9-s17 15 (52, 7, 17, 35) 40.941357710306804 gpu 1
ROUND 9 n 240 bestJ 23.529057505828288 best (62, 5, 4, 70) eligible 847 update 0 updates_total 2
Q round10-s17 0 (62, 21, 4, 22) 29.48904746976822 gpu 0
Q round10-s17 1 (62, 45, 4, 22) 32.127437535342686 gpu 1
Q round10-s17 2 (38, 21, 4, 46) 26.266350479077673 gpu 0
Q round10-s17 3 (38, 21, 4, 54) 24.76861600966031 gpu 1
Q round10-s17 4 (38, 45, 4, 46) 28.460731199928468 gpu 0
Q round10-s17 5 (38, 5, 4, 62) 25.262692674642956 gpu 1
Q round10-s17 6 (38, 5, 4, 38) 26.864150994816942 gpu 0
Q round10-s17 7 (38, 45, 4, 54) 27.173417067351348 gpu 1
Q round10-s17 8 (57, 5, 4, 22) 27.882535332223583 gpu 0
Q round10-s17 9 (39, 5, 4, 22) 28.082778099754456 gpu 1
Q round10-s17 10 (38, 21, 4, 70) 25.006997870792958 gpu 0
Q round10-s17 11 (38, 21, 4, 6) 27.728560744965584 gpu 1
Q round10-s17 12 (38, 5, 4, 30) 23.429070871496855 gpu 0
Q round10-s17 13 (38, 45, 4, 6) 30.26639117482709 gpu 1
Q round10-s17 14 (51, 35, 29, 14) 286.6261030458227 gpu 0
Q round10-s17 15 (17, 62, 0, 63) 94.62399712852896 gpu 1
ROUND 10 n 256 bestJ 23.429070871496855 best (38, 5, 4, 30) eligible 309 update 0 updates_total 2
Q round11-s17 0 (62, 13, 4, 6) 36.84832517950902 gpu 0
Q round11-s17 1 (39, 45, 4, 6) 30.681946123208068 gpu 1
Q round11-s17 2 (62, 13, 4, 70) 31.80602012871045 gpu 0
Q round11-s17 3 (57, 5, 4, 38) 41.74306865002102 gpu 1
Q round11-s17 4 (62, 69, 4, 22) 34.309871665103145 gpu 0
Q round11-s17 5 (39, 5, 4, 62) 24.305392761939306 gpu 1
Q round11-s17 6 (65, 5, 4, 14) 26.095666519064256 gpu 0
Q round11-s17 7 (62, 13, 4, 14) 33.59860492605883 gpu 1
Q round11-s17 8 (62, 5, 44, 70) 24.331833422522262 gpu 0
Q round11-s17 9 (62, 21, 44, 6) 30.548072054160176 gpu 1
Q round11-s17 10 (38, 5, 20, 62) 26.207635642493845 gpu 0
Q round11-s17 11 (38, 5, 20, 38) 26.89948505841255 gpu 1
Q round11-s17 12 (62, 45, 44, 6) 33.632365053357454 gpu 0
Q round11-s17 13 (63, 21, 4, 46) 26.277544349183508 gpu 1
Q round11-s17 14 (45, 33, 1, 9) 43.80938709864208 gpu 0
Q round11-s17 15 (14, 68, 65, 49) 52.855282228999904 gpu 1
ROUND 11 n 272 bestJ 23.429070871496855 best (38, 5, 4, 30) eligible 327 update 0 updates_total 2
Q round12-s17 0 (38, 45, 4, 70) 22.832453007124 gpu 0
Q round12-s17 1 (38, 21, 4, 14) 23.686533318970355 gpu 1
Q round12-s17 2 (62, 21, 4, 54) 24.43146563013409 gpu 0
Q round12-s17 3 (62, 45, 4, 46) 30.84383299212196 gpu 1
Q round12-s17 4 (38, 45, 4, 14) 27.60739382198338 gpu 0
Q round12-s17 5 (62, 45, 4, 54) 29.16348214848496 gpu 1
Q round12-s17 6 (62, 21, 4, 70) 25.06532203145715 gpu 0
Q round12-s17 7 (62, 5, 4, 30) 25.084707541011213 gpu 1
Q round12-s17 8 (62, 45, 4, 70) 27.514601810704335 gpu 0
Q round12-s17 9 (62, 21, 4, 14) 26.185921214185267 gpu 1
Q round12-s17 10 (62, 45, 4, 14) 28.583498644172586 gpu 0
Q round12-s17 11 (57, 5, 4, 46) 28.285043338231862 gpu 1
Q round12-s17 12 (57, 5, 4, 6) 28.217292536177645 gpu 0
Q round12-s17 13 (38, 21, 4, 38) 26.10158397057504 gpu 1
Q round12-s17 14 (19, 48, 0, 57) 48.78681854598064 gpu 0
Q round12-s17 15 (51, 60, 22, 24) 53.48025568776636 gpu 1
ROUND 12 n 288 bestJ 22.832453007124 best (38, 45, 4, 70) eligible 46 update 0 updates_total 2
Q round13-s17 0 (38, 21, 4, 62) 25.113684760744 gpu 0
Q round13-s17 1 (38, 13, 4, 22) 33.859873645989076 gpu 1
Q round13-s17 2 (38, 45, 4, 62) 25.51947116901948 gpu 0
Q round13-s17 3 (38, 45, 4, 38) 25.606927676184746 gpu 1
Q round13-s17 4 (33, 5, 4, 22) 28.3984875101006 gpu 0
Q round13-s17 5 (62, 21, 4, 38) 26.32432446080871 gpu 1
Q round13-s17 6 (62, 21, 4, 62) 25.790376236625526 gpu 0
Q round13-s17 7 (62, 13, 4, 22) 36.75358217563358 gpu 1
Q round13-s17 8 (62, 45, 4, 62) 25.213915836754005 gpu 0
Q round13-s17 9 (62, 45, 4, 38) 24.480161093111477 gpu 1
Q round13-s17 10 (56, 5, 4, 22) 26.09332629806632 gpu 0
Q round13-s17 11 (57, 5, 4, 14) 27.98990431200985 gpu 1
Q round13-s17 12 (38, 21, 44, 22) 29.765621637798834 gpu 0
Q round13-s17 13 (38, 21, 20, 22) 27.928401460835115 gpu 1
Q round13-s17 14 (35, 1, 65, 35) 62.68178459077499 gpu 0
Q round13-s17 15 (49, 70, 10, 58) 232.94109925831586 gpu 1
ROUND 13 n 304 bestJ 22.832453007124 best (38, 45, 4, 70) eligible 40 update 0 updates_total 2
Q round14-s17 0 (38, 5, 44, 22) 29.92381509680455 gpu 0
Q round14-s17 1 (38, 5, 20, 22) 28.46051042120557 gpu 1
Q round14-s17 2 (62, 21, 4, 46) 27.686548698379987 gpu 0
Q round14-s17 3 (62, 5, 4, 62) 26.14231578671919 gpu 1
Q round14-s17 4 (62, 5, 4, 38) 26.486635702020564 gpu 0
Q round14-s17 5 (63, 5, 4, 22) 28.497260752041264 gpu 1
Q round14-s17 6 (62, 21, 4, 6) 30.561648699616168 gpu 0
Q round14-s17 7 (62, 5, 44, 22) 31.295758711617275 gpu 1
Q round14-s17 8 (62, 45, 4, 6) 32.27225237124349 gpu 0
Q round14-s17 9 (39, 5, 4, 46) 25.594602095021425 gpu 1
Q round14-s17 10 (62, 5, 20, 22) 29.977444809615374 gpu 0
Q round14-s17 11 (38, 5, 44, 6) 29.94715987571139 gpu 1
Q round14-s17 12 (38, 5, 44, 46) 28.258565740062444 gpu 0
Q round14-s17 13 (39, 5, 4, 6) 27.9321636473511 gpu 1
Q round14-s17 14 (34, 52, 59, 10) 131.78511694055666 gpu 0
Q round14-s17 15 (29, 45, 18, 64) 108.65954513470005 gpu 1
ROUND 14 n 320 bestJ 22.832453007124 best (38, 45, 4, 70) eligible 0 update 0 updates_total 2
Q round15-s17 0 (38, 45, 44, 22) 31.455448715853233 gpu 0
Q round15-s17 1 (38, 5, 44, 54) 25.456684390924863 gpu 1
Q round15-s17 2 (62, 21, 44, 22) 29.942000439996423 gpu 0
Q round15-s17 3 (62, 21, 20, 22) 29.96196192455005 gpu 1
Q round15-s17 4 (62, 45, 44, 22) 32.94630332189606 gpu 0
Q round15-s17 5 (62, 45, 20, 22) 32.4536085392181 gpu 1
Q round15-s17 6 (62, 5, 20, 54) 25.25189747546658 gpu 0
Q round15-s17 7 (33, 5, 4, 46) 29.250213077424483 gpu 1
Q round15-s17 8 (39, 5, 4, 54) 24.165093918756014 gpu 0
Q round15-s17 9 (63, 21, 4, 22) 29.066344014279544 gpu 1
Q round15-s17 10 (63, 45, 4, 22) 32.63202120980473 gpu 0
Q round15-s17 11 (33, 5, 4, 6) 28.32012529096329 gpu 1
